,Words,Unista,JYGA,MG_Tech,Sidel,Total
1430,dominique,0.0,2.0,0.0,0.0,2.0
1431,gerard,0.0,2.0,0.0,0.0,2.0
1432,neuf,0.0,8.0,0.0,5.0,13.0
1433,laita,0.0,5.0,0.0,0.0,5.0
1434,accepter,0.0,6.0,2.0,4.0,12.0
1435,question,0.0,4.0,0.0,9.0,13.0
1436,revenir,0.0,5.0,0.0,7.0,12.0
1437,histoire,0.0,4.0,1.0,3.0,8.0
1438,coopératif,0.0,7.0,0.0,1.0,8.0
1439,axe,0.0,25.0,4.0,4.0,33.0
1440,développement,0.0,6.0,8.0,28.0,42.0
1441,zoom,0.0,2.0,0.0,0.0,2.0
1442,plaquette,0.0,11.0,1.0,0.0,12.0
1443,comment,0.0,3.0,2.0,9.0,14.0
1444,période,0.0,3.0,0.0,2.0,5.0
1445,confinemer,0.0,2.0,0.0,0.0,2.0
1446,contactfin,0.0,1.0,0.0,0.0,1.0
1447,complete,0.0,1.0,0.0,1.0,2.0
1448,commercialis,0.0,1.0,0.0,0.0,1.0
1449,comptabilise,0.0,1.0,0.0,0.0,1.0
1450,quarante,0.0,1.0,0.0,3.0,4.0
1451,unitairer,0.0,1.0,0.0,0.0,1.0
1452,ensemble,0.0,2.0,2.0,4.0,8.0
1453,organisation,0.0,1.0,3.0,11.0,15.0
1454,échanger,0.0,4.0,2.0,5.0,11.0
1455,budgétaire,0.0,1.0,0.0,1.0,2.0
1456,projetla,0.0,1.0,0.0,0.0,1.0
1457,fabriqu,0.0,1.0,0.0,1.0,2.0
1458,local,0.0,2.0,4.0,27.0,33.0
1459,partenariat,0.0,1.0,3.0,16.0,20.0
1460,thermoformage,0.0,1.0,0.0,0.0,1.0
1461,operculage,0.0,1.0,0.0,0.0,1.0
1462,interlocuteur,0.0,1.0,0.0,2.0,3.0
1463,maître,0.0,1.0,1.0,8.0,10.0
1464,œuvr,0.0,6.0,1.0,4.0,11.0
1465,multiple,0.0,29.0,10.0,12.0,51.0
1466,acteur,0.0,4.0,6.0,17.0,27.0
1467,souhaiter,0.0,10.0,2.0,10.0,22.0
1468,conseils,0.0,1.0,1.0,5.0,7.0
1469,appeler,0.0,5.0,0.0,1.0,6.0
1470,ingénieur,0.0,4.0,2.0,14.0,20.0
1471,contactprototypage,0.0,1.0,0.0,0.0,1.0
1472,valider,0.0,7.0,2.0,3.0,12.0
1473,analyser,0.0,1.0,2.0,8.0,11.0
1474,comportement,0.0,1.0,1.0,5.0,7.0
1475,tester,0.0,3.0,3.0,9.0,15.0
1476,interrogation,0.0,1.0,0.0,0.0,1.0
1477,situation,0.0,4.0,2.0,2.0,8.0
1478,réel,0.0,2.0,4.0,16.0,22.0
1479,poser,0.0,3.0,0.0,1.0,4.0
1480,préhension,0.0,12.0,1.0,12.0,25.0
1481,possibilité,0.0,5.0,4.0,19.0,28.0
1482,conseil,0.0,2.0,0.0,3.0,5.0
1483,contactservice,0.0,1.0,0.0,0.0,1.0
1484,assistance,0.0,4.0,2.0,14.0,20.0
1485,sap,0.0,6.0,0.0,0.0,6.0
1486,sav,0.0,1.0,1.0,0.0,2.0
1487,rout,0.0,2.0,1.0,2.0,5.0
1488,matériel,0.0,4.0,3.0,1.0,8.0
1489,pérennité,0.0,1.0,0.0,1.0,2.0
1490,amener,0.0,4.0,1.0,9.0,14.0
1491,niveau,0.0,4.0,12.0,103.0,119.0
1492,intervention,0.0,4.0,3.0,15.0,22.0
1493,remettre,0.0,6.0,1.0,5.0,12.0
1494,distance,0.0,3.0,1.0,9.0,13.0
1495,diagnostic,0.0,1.0,1.0,4.0,6.0
1496,modification,0.0,4.0,2.0,5.0,11.0
1497,lot,0.0,33.0,6.0,4.0,43.0
1498,urgence,0.0,1.0,2.0,3.0,6.0
1499,demandenotre,0.0,1.0,0.0,0.0,1.0
1500,privilégier,0.0,1.0,1.0,8.0,10.0
1501,délai,0.0,7.0,5.0,15.0,27.0
1502,contactréalité,0.0,1.0,0.0,0.0,1.0
1503,plans,0.0,2.0,2.0,0.0,4.0
1504,visualiser,0.0,3.0,0.0,0.0,3.0
1505,présentation,0.0,2.0,0.0,2.0,4.0
1506,interagir,0.0,1.0,0.0,1.0,2.0
1507,validation,0.0,3.0,0.0,8.0,11.0
1508,fabrication,0.0,23.0,11.0,7.0,41.0
1509,identifier,0.0,7.0,2.0,10.0,19.0
1510,trouble,0.0,2.0,1.0,0.0,3.0
1511,musculosquelettiqu,0.0,2.0,1.0,0.0,3.0
1512,participer,0.0,3.0,1.0,3.0,7.0
1513,bénéfice,0.0,3.0,0.0,22.0,25.0
1514,tms,0.0,4.0,2.0,0.0,6.0
1515,apprécier,0.0,1.0,3.0,6.0,10.0
1516,capacité,0.0,3.0,5.0,43.0,51.0
1517,projeter,0.0,2.0,1.0,0.0,3.0
1518,usinejyga,0.0,1.0,0.0,0.0,1.0
1519,virtual,0.0,2.0,0.0,0.0,2.0
1520,smartphone,0.0,2.0,0.0,0.0,2.0
1521,apparaître,0.0,1.0,0.0,2.0,3.0
1522,réellement,0.0,1.0,0.0,3.0,4.0
1523,positionner,0.0,11.0,0.0,4.0,15.0
1524,emplacement,0.0,2.0,0.0,6.0,8.0
1525,souhaité,0.0,3.0,0.0,2.0,5.0
1526,pal,0.0,8.0,1.0,0.0,9.0
1527,it,0.0,8.0,0.0,6.0,14.0
1528,ultrer,0.0,2.0,0.0,2.0,4.0
1529,écheler,0.0,1.0,0.0,0.0,1.0
1530,contactez,0.0,5.0,0.0,0.0,5.0
1531,renseignement,0.0,1.0,0.0,0.0,1.0
1532,contactbesoin,0.0,1.0,0.0,0.0,1.0
1533,nouscontact,0.0,1.0,0.0,0.0,1.0
1534,détail,0.0,2.0,2.0,5.0,9.0
1535,inviton,0.0,3.0,0.0,4.0,7.0
1536,consulter,0.0,4.0,3.0,6.0,13.0
1537,politique,0.0,2.0,2.0,5.0,9.0
1538,contactdevis,0.0,1.0,0.0,0.0,1.0
1539,express,0.0,1.0,0.0,0.0,1.0
1540,contactrencontrernou,0.0,1.0,0.0,0.0,1.0
1541,contactencaisseus,0.0,8.0,0.0,0.0,8.0
1542,around,0.0,4.0,0.0,15.0,19.0
1543,ferme,0.0,4.0,0.0,4.0,8.0
1544,rabat,0.0,13.0,0.0,0.0,13.0
1545,latéral,0.0,5.0,0.0,4.0,9.0
1546,maintien,0.0,6.0,0.0,1.0,7.0
1547,hot,0.0,3.0,1.0,10.0,14.0
1548,melt,0.0,3.0,1.0,0.0,4.0
1549,dire,0.0,5.0,2.0,4.0,11.0
1550,pav,0.0,20.0,1.0,0.0,21.0
1551,tronconique,0.0,2.0,0.0,0.0,2.0
1552,porteur,0.0,4.0,0.0,0.0,4.0
1553,boîte,0.0,20.0,10.0,3.0,33.0
1554,conserve,0.0,3.0,3.0,3.0,9.0
1555,absence,0.0,1.0,0.0,4.0,5.0
1556,supérieur,0.0,10.0,0.0,15.0,25.0
1557,induire,0.0,1.0,0.0,0.0,1.0
1558,économique,0.0,1.0,5.0,29.0,35.0
1559,regroup,0.0,1.0,1.0,0.0,2.0
1560,risque,0.0,6.0,3.0,10.0,19.0
1561,réduit,0.0,5.0,1.0,15.0,21.0
1562,eclairage,0.0,4.0,0.0,0.0,4.0
1563,led,0.0,4.0,6.0,1.0,11.0
1564,multicolore,0.0,4.0,0.0,0.0,4.0
1565,couleur,0.0,4.0,8.0,1.0,13.0
1566,porte,0.0,10.0,6.0,9.0,25.0
1567,coulisser,0.0,4.0,0.0,3.0,7.0
1568,soigner,0.0,6.0,0.0,1.0,7.0
1569,aéré,0.0,6.0,0.0,0.0,6.0
1570,encombrement,0.0,3.0,5.0,13.0,21.0
1571,ajusté,0.0,5.0,0.0,0.0,5.0
1572,réglage,0.0,7.0,0.0,8.0,15.0
1573,hauteur,0.0,7.0,9.0,17.0,33.0
1574,caisseautour,0.0,3.0,0.0,0.0,3.0
1575,périphérique,0.0,16.0,0.0,2.0,18.0
1576,complémentaire,0.0,22.0,4.0,4.0,30.0
1577,magasin,0.0,52.0,6.0,4.0,62.0
1578,formeuse,0.0,6.0,8.0,0.0,14.0
1579,détection,0.0,8.0,0.0,1.0,9.0
1580,embarquer,0.0,7.0,1.0,2.0,10.0
1581,présence,0.0,8.0,0.0,4.0,12.0
1582,position,0.0,15.0,2.0,9.0,26.0
1583,repérer,0.0,7.0,0.0,0.0,7.0
1584,prélever,0.0,17.0,0.0,0.0,17.0
1585,découper,0.0,21.0,1.0,7.0,29.0
1586,sortie,0.0,21.0,3.0,1.0,25.0
1587,gerbeur,0.0,12.0,0.0,2.0,14.0
1588,empile,0.0,9.0,0.0,0.0,9.0
1589,intrinsèquement,0.0,9.0,0.0,0.0,9.0
1590,tunnels,0.0,9.0,0.0,0.0,9.0
1591,facilit,0.0,9.0,0.0,4.0,13.0
1592,diminuer,0.0,14.0,0.0,19.0,33.0
1593,automatiquevou,0.0,5.0,0.0,0.0,5.0
1594,traçabilité,0.0,16.0,3.0,5.0,24.0
1595,personnalisation,0.0,17.0,0.0,3.0,20.0
1596,intégron,0.0,16.0,1.0,0.0,17.0
1597,contactpouvoir,0.0,1.0,0.0,0.0,1.0
1598,désigner,0.0,1.0,0.0,1.0,2.0
1599,film,0.0,10.0,1.0,22.0,33.0
1600,horizontal,0.0,5.0,0.0,0.0,5.0
1601,souder,0.0,1.0,0.0,0.0,1.0
1602,fruit,0.0,5.0,10.0,20.0,35.0
1603,légume,0.0,3.0,10.0,0.0,13.0
1604,frais,0.0,2.0,3.0,8.0,13.0
1605,biscuiteri,0.0,1.0,0.0,0.0,1.0
1606,confiserie,0.0,1.0,0.0,0.0,1.0
1607,herb,0.0,1.0,0.0,0.0,1.0
1608,aromatique,0.0,1.0,0.0,0.0,1.0
1609,épice,0.0,1.0,0.0,0.0,1.0
1610,salaison,0.0,2.0,2.0,0.0,4.0
1611,laboratoir,0.0,3.0,0.0,6.0,9.0
1612,couper,0.0,1.0,0.0,0.0,1.0
1613,préplié,0.0,1.0,0.0,0.0,1.0
1614,généralement,0.0,3.0,0.0,9.0,12.0
1615,emballer,0.0,14.0,6.0,0.0,20.0
1616,moteur,0.0,1.0,0.0,2.0,3.0
1617,entrainement,0.0,1.0,0.0,0.0,1.0
1618,configurer,0.0,3.0,0.0,6.0,9.0
1619,paleter,0.0,4.0,0.0,3.0,7.0
1620,veiller,0.0,1.0,0.0,7.0,8.0
1621,visibilité,0.0,1.0,1.0,5.0,7.0
1622,paramètre,0.0,1.0,2.0,6.0,9.0
1623,interfacer,0.0,1.0,2.0,4.0,7.0
1624,sauvegarder,0.0,1.0,0.0,0.0,1.0
1625,minimum,0.0,2.0,0.0,7.0,9.0
1626,existe,0.0,3.0,2.0,3.0,8.0
1627,approvisionnement,0.0,4.0,1.0,1.0,6.0
1628,gestion,0.0,10.0,11.0,41.0,62.0
1629,palett,0.0,1.0,0.0,0.0,1.0
1630,lumineux,0.0,1.0,5.0,0.0,6.0
1631,venir,0.0,5.0,5.0,17.0,27.0
1632,devoir,0.0,57.0,5.0,79.0,141.0
1633,arrêter,0.0,2.0,0.0,2.0,4.0
1634,transférer,0.0,20.0,0.0,4.0,24.0
1635,poste,0.0,32.0,5.0,20.0,57.0
1636,mode,0.0,7.0,1.0,7.0,15.0
1637,grillage,0.0,1.0,0.0,0.0,1.0
1638,spécialemer,0.0,1.0,0.0,0.0,1.0
1639,consiste,0.0,3.0,0.0,7.0,10.0
1640,griffe,0.0,5.0,0.0,0.0,5.0
1641,retaquage,0.0,4.0,0.0,0.0,4.0
1642,reproduir,0.0,1.0,0.0,0.0,1.0
1643,bout,0.0,11.0,0.0,3.0,14.0
1644,duquel,0.0,1.0,0.0,0.0,1.0
1645,fixer,0.0,2.0,1.0,2.0,5.0
1646,ventous,0.0,19.0,0.0,0.0,19.0
1647,doigt,0.0,3.0,0.0,1.0,4.0
1648,pistonensembl,0.0,1.0,0.0,0.0,1.0
1649,exemplesmachine,0.0,1.0,0.0,0.0,1.0
1650,encaisse,0.0,3.0,0.0,0.0,3.0
1651,présente,0.0,2.0,0.0,4.0,6.0
1652,constitue,0.0,2.0,0.0,4.0,6.0
1653,progressivement,0.0,1.0,0.0,0.0,1.0
1654,agro,0.0,1.0,0.0,14.0,15.0
1655,jygamachine,0.0,1.0,0.0,0.0,1.0
1656,vider,0.0,5.0,0.0,1.0,6.0
1657,cuisson,0.0,2.0,0.0,0.0,2.0
1658,autoclave,0.0,2.0,0.0,0.0,2.0
1659,dépiler,0.0,2.0,0.0,0.0,2.0
1660,empiler,0.0,7.0,0.0,3.0,10.0
1661,inverse,0.0,1.0,0.0,0.0,1.0
1662,vapeur,0.0,1.0,0.0,2.0,3.0
1663,rotation,0.0,3.0,2.0,6.0,11.0
1664,morphologi,0.0,1.0,0.0,0.0,1.0
1665,bras,0.0,1.0,1.0,1.0,3.0
1666,equipement,0.0,1.0,0.0,0.0,1.0
1667,diagnostique,0.0,1.0,0.0,2.0,3.0
1668,via,0.0,7.0,8.0,11.0,26.0
1669,vpn,0.0,1.0,0.0,0.0,1.0
1670,axer,0.0,1.0,0.0,2.0,3.0
1671,liberté,0.0,1.0,1.0,13.0,15.0
1672,morphologie,0.0,1.0,0.0,0.0,1.0
1673,encaisseu,0.0,5.0,0.0,1.0,6.0
1674,stock,0.0,2.0,1.0,17.0,20.0
1675,situe,0.0,1.0,0.0,1.0,2.0
1676,recharger,0.0,1.0,0.0,0.0,1.0
1677,quand,0.0,3.0,1.0,15.0,19.0
1678,éviter,0.0,1.0,2.0,12.0,15.0
1679,min,0.0,5.0,0.0,0.0,5.0
1680,fermé,0.0,2.0,0.0,0.0,2.0
1681,rabattre,0.0,2.0,0.0,0.0,2.0
1682,totalement,0.0,3.0,3.0,1.0,7.0
1683,présentoir,0.0,2.0,1.0,0.0,3.0
1684,lorsqu,0.0,5.0,1.0,1.0,7.0
1685,sécable,0.0,2.0,0.0,0.0,2.0
1686,logistique,0.0,1.0,11.0,44.0,56.0
1687,distribu,0.0,4.0,0.0,0.0,4.0
1688,protecteur,0.0,2.0,0.0,0.0,2.0
1689,emprise,0.0,3.0,0.0,0.0,3.0
1690,sol,0.0,11.0,0.0,25.0,36.0
1691,jointif,0.0,3.0,0.0,0.0,3.0
1692,préservent,0.0,1.0,0.0,0.0,1.0
1693,ventilation,0.0,1.0,0.0,0.0,1.0
1694,salade,0.0,1.0,0.0,0.0,1.0
1695,yaourt,0.0,5.0,2.0,0.0,7.0
1696,pizzer,0.0,1.0,0.0,0.0,1.0
1697,contactpalettiseur,0.0,3.0,0.0,0.0,3.0
1698,poly,0.0,4.0,1.0,0.0,5.0
1699,articuler,0.0,4.0,1.0,2.0,7.0
1700,chacun,0.0,3.0,2.0,11.0,16.0
1701,indépender,0.0,3.0,3.0,5.0,11.0
1702,polyvalent,0.0,4.0,1.0,8.0,13.0
1703,dispose,0.0,16.0,5.0,9.0,30.0
1704,préhenseurs,0.0,2.0,0.0,0.0,2.0
1705,modul,0.0,17.0,2.0,4.0,23.0
1706,inférieur,0.0,6.0,0.0,4.0,10.0
1707,droite,0.0,2.0,1.0,0.0,3.0
1708,dépileur,0.0,12.0,1.0,0.0,13.0
1709,module,0.0,15.0,3.0,12.0,30.0
1710,préparation,0.0,22.0,2.0,3.0,27.0
1711,banderoleu,0.0,1.0,0.0,0.0,1.0
1712,pupitre,0.0,6.0,5.0,5.0,16.0
1713,lancer,0.0,6.0,0.0,27.0,33.0
1714,unitaire,0.0,14.0,0.0,0.0,14.0
1715,où,0.0,9.0,6.0,23.0,38.0
1716,intégralemer,0.0,3.0,0.0,1.0,4.0
1717,occuper,0.0,4.0,0.0,4.0,8.0
1718,impos,0.0,2.0,0.0,1.0,3.0
1719,approvisionne,0.0,3.0,0.0,0.0,3.0
1720,pile,0.0,56.0,0.0,0.0,56.0
1721,distribue,0.0,5.0,0.0,2.0,7.0
1722,dépilage,0.0,7.0,0.0,0.0,7.0
1723,masquer,0.0,3.0,0.0,0.0,3.0
1724,nécessitent,0.0,3.0,2.0,0.0,5.0
1725,parfois,0.0,4.0,0.0,2.0,6.0
1726,approvisionn,0.0,4.0,0.0,0.0,4.0
1727,pil,0.0,5.0,0.0,0.0,5.0
1728,dépil,0.0,7.0,0.0,0.0,7.0
1729,attente,0.0,5.0,1.0,9.0,15.0
1730,onduler,0.0,3.0,3.0,3.0,9.0
1731,craft,0.0,6.0,0.0,0.0,6.0
1732,feuille,0.0,6.0,0.0,1.0,7.0
1733,rouleau,0.0,7.0,0.0,2.0,9.0
1734,plaqu,0.0,8.0,0.0,4.0,12.0
1735,alvéoler,0.0,3.0,0.0,1.0,4.0
1736,préparer,0.0,9.0,3.0,1.0,13.0
1737,alternatif,0.0,2.0,0.0,5.0,7.0
1738,rouleal,0.0,7.0,0.0,2.0,9.0
1739,motoriser,0.0,4.0,0.0,2.0,6.0
1740,évacuation,0.0,8.0,0.0,3.0,11.0
1741,banderoleus,0.0,1.0,0.0,1.0,2.0
1742,étiqueteuse,0.0,2.0,0.0,22.0,24.0
1743,dépendre,0.0,2.0,0.0,1.0,3.0
1744,formeus,0.0,10.0,22.0,1.0,33.0
1745,ouverture,0.0,3.0,2.0,3.0,8.0
1746,volumineux,0.0,1.0,0.0,0.0,1.0
1747,modulaire,0.0,4.0,1.0,21.0,26.0
1748,côte,0.0,1.0,1.0,2.0,4.0
1749,indicativer,0.0,1.0,0.0,0.0,1.0
1750,encaissageautour,0.0,1.0,0.0,0.0,1.0
1751,conditionnementen,0.0,1.0,0.0,0.0,1.0
1752,contactnewsletter,0.0,1.0,0.0,0.0,1.0
1753,contactmention,0.0,1.0,0.0,0.0,1.0
1754,statut,0.0,2.0,0.0,1.0,3.0
1755,siret,0.0,1.0,0.0,0.0,1.0
1756,ape,0.0,1.0,0.0,0.0,1.0
1757,https,0.0,5.0,0.0,2.0,7.0
1758,protégé,0.0,1.0,0.0,0.0,1.0
1759,diffusion,0.0,1.0,0.0,2.0,3.0
1760,seguinier,0.0,2.0,0.0,0.0,2.0
1761,région,0.0,1.0,0.0,20.0,21.0
1762,pays,0.0,4.0,0.0,30.0,34.0
1763,loire,0.0,1.0,1.0,0.0,2.0
1764,franceemail,0.0,1.0,0.0,0.0,1.0
1765,url,0.0,1.0,0.0,0.0,1.0
1766,desmotta,0.0,1.0,0.0,0.0,1.0
1767,toulouseovh,0.0,1.0,0.0,0.0,1.0
1768,quai,0.0,1.0,0.0,0.0,1.0
1769,sartel,0.0,1.0,0.0,0.0,1.0
1770,roubaix,0.0,1.0,0.0,0.0,1.0
1771,tech,0.0,1.0,153.0,0.0,154.0
1772,divers,0.0,3.0,4.0,19.0,26.0
1773,web,0.0,3.0,0.0,41.0,44.0
1774,fond,0.0,5.0,1.0,50.0,56.0
1775,dessin,0.0,1.0,0.0,0.0,1.0
1776,modèle,0.0,1.0,1.0,9.0,11.0
1777,marque,0.0,2.0,3.0,40.0,45.0
1778,image,0.0,1.0,5.0,5.0,11.0
1779,imiter,0.0,1.0,0.0,0.0,1.0
1780,sauf,0.0,2.0,0.0,1.0,3.0
1781,expresse,0.0,2.0,0.0,1.0,3.0
1782,respecter,0.0,2.0,2.0,12.0,16.0
1783,coupable,0.0,1.0,0.0,0.0,1.0
1784,délit,0.0,1.0,0.0,0.0,1.0
1785,passible,0.0,1.0,0.0,0.0,1.0
1786,sanction,0.0,1.0,0.0,0.0,1.0
1787,pénal,0.0,1.0,0.0,0.0,1.0
1788,sen,0.0,4.0,1.0,1.0,6.0
1789,photographie,0.0,1.0,0.0,2.0,3.0
1790,texte,0.0,2.0,0.0,1.0,3.0
1791,pictogramm,0.0,1.0,0.0,0.0,1.0
1792,transmission,0.0,2.0,0.0,1.0,3.0
1793,dudit,0.0,1.0,0.0,0.0,1.0
1794,clairement,0.0,1.0,0.0,1.0,2.0
1795,sourcer,0.0,1.0,0.0,1.0,2.0
1796,multimédia,0.0,1.0,0.0,0.0,1.0
1797,préjudice,0.0,1.0,0.0,0.0,1.0
1798,commercial,0.0,1.0,11.0,26.0,38.0
1799,régime,0.0,1.0,0.0,2.0,3.0
1800,etablissement,0.0,1.0,0.0,0.0,1.0
1801,http,0.0,11.0,0.0,4.0,15.0
1802,autorise,0.0,1.0,0.0,0.0,1.0
1803,exclusion,0.0,1.0,0.0,0.0,1.0
1804,diffusant,0.0,1.0,0.0,0.0,1.0
1805,caractèr,0.0,1.0,0.0,0.0,1.0
1806,polémique,0.0,1.0,0.0,0.0,1.0
1807,pornographique,0.0,1.0,0.0,0.0,1.0
1808,xénophobe,0.0,1.0,0.0,0.0,1.0
1809,sensibilité,0.0,1.0,0.0,0.0,1.0
1810,intérieur,0.0,2.0,2.0,7.0,11.0
1811,fram,0.0,1.0,0.0,0.0,1.0
1812,accorder,0.0,1.0,1.0,5.0,7.0
1813,mail,0.0,2.0,0.0,0.0,2.0
1814,réserve,0.0,1.0,0.0,1.0,2.0
1815,suppression,0.0,2.0,0.0,2.0,4.0
1816,estime,0.0,2.0,0.0,0.0,2.0
1817,cibl,0.0,1.0,0.0,1.0,2.0
1818,respecte,0.0,1.0,0.0,2.0,3.0
1819,régler,0.0,1.0,1.0,5.0,7.0
1820,défini,0.0,1.0,1.0,6.0,8.0
1821,direction,0.0,1.0,3.0,3.0,7.0
1822,ressourcer,0.0,3.0,1.0,15.0,19.0
1823,quant,0.0,4.0,1.0,7.0,12.0
1824,jour,0.0,3.0,18.0,15.0,36.0
1825,cependant,0.0,1.0,0.0,2.0,3.0
1826,comporter,0.0,2.0,0.0,4.0,6.0
1827,inexactitud,0.0,1.0,0.0,0.0,1.0
1828,défaut,0.0,2.0,1.0,1.0,4.0
1829,remercion,0.0,1.0,0.0,0.0,1.0
1830,éventuel,0.0,1.0,0.0,2.0,3.0
1831,correction,0.0,1.0,0.0,0.0,1.0
1832,toutefois,0.0,2.0,0.0,0.0,2.0
1833,aspect,0.0,1.0,1.0,14.0,16.0
1834,caractéristique,0.0,3.0,0.0,13.0,16.0
1835,contractuel,0.0,1.0,0.0,4.0,5.0
1836,égard,0.0,1.0,0.0,1.0,2.0
1837,implicite,0.0,1.0,0.0,1.0,2.0
1838,complétude,0.0,1.0,0.0,0.0,1.0
1839,exactitud,0.0,1.0,0.0,0.0,1.0
1840,adéquation,0.0,1.0,1.0,1.0,3.0
1841,internaute,0.0,1.0,0.0,0.0,1.0
1842,contactpolitique,0.0,1.0,0.0,0.0,1.0
1843,cookier,0.0,2.0,0.0,1.0,3.0
1844,charte,0.0,2.0,0.0,0.0,2.0
1845,relatif,0.0,4.0,1.0,6.0,11.0
1846,référencer,0.0,1.0,0.0,2.0,3.0
1847,identification,0.0,1.0,2.0,0.0,3.0
1848,localisation,0.0,1.0,0.0,0.0,1.0
1849,fichier,0.0,1.0,0.0,0.0,1.0
1850,disqu,0.0,1.0,1.0,1.0,3.0
1851,dur,0.0,2.0,0.0,1.0,3.0
1852,terminal,0.0,2.0,1.0,0.0,3.0
1853,pc,0.0,1.0,0.0,2.0,3.0
1854,portable,0.0,1.0,0.0,1.0,2.0
1855,occasion,0.0,5.0,0.0,2.0,7.0
1856,consultation,0.0,2.0,0.0,0.0,2.0
1857,posséder,0.0,2.0,0.0,2.0,4.0
1858,remplir,0.0,7.0,0.0,43.0,50.0
1859,newsletter,0.0,1.0,0.0,210.0,211.0
1860,lettre,0.0,1.0,0.0,0.0,1.0
1861,indirect,0.0,1.0,0.0,0.0,1.0
1862,partenaire,0.0,1.0,1.0,9.0,11.0
1863,obtenir,0.0,4.0,2.0,18.0,24.0
1864,céder,0.0,1.0,0.0,0.0,1.0
1865,louer,0.0,1.0,0.0,0.0,1.0
1866,finalité,0.0,1.0,0.0,0.0,1.0
1867,informatiser,0.0,1.0,0.0,0.0,1.0
1868,exécution,0.0,1.0,0.0,10.0,11.0
1869,communiquez,0.0,1.0,0.0,0.0,1.0
1870,interne,0.0,3.0,1.0,8.0,12.0
1871,prestataire,0.0,1.0,0.0,1.0,2.0
1872,réglementation,0.0,1.0,0.0,2.0,3.0
1873,européen,0.0,2.0,1.0,3.0,6.0
1874,inexact,0.0,1.0,0.0,0.0,1.0
1875,équivoque,0.0,1.0,0.0,0.0,1.0
1876,périmer,0.0,1.0,0.0,0.0,1.0
1877,opposer,0.0,1.0,0.0,2.0,3.0
1878,justifiant,0.0,1.0,0.0,0.0,1.0
1879,adresser,0.0,1.0,0.0,0.0,1.0
1880,courriel,0.0,1.0,0.0,0.0,1.0
1881,réserv,0.0,1.0,1.0,1.0,3.0
1882,intermédiaire,0.0,2.0,0.0,1.0,3.0
1883,désactiver,0.0,2.0,0.0,1.0,3.0
1884,gratuitement,0.0,1.0,0.0,0.0,1.0
1885,désactivation,0.0,1.0,0.0,1.0,2.0
1886,rappeler,0.0,1.0,0.0,1.0,2.0
1887,empêcher,0.0,3.0,0.0,1.0,4.0
1888,sécurisation,0.0,1.0,0.0,0.0,1.0
1889,identifiant,0.0,1.0,0.0,0.0,1.0
1890,antérieurement,0.0,1.0,0.0,0.0,1.0
1891,normalement,0.0,1.0,0.0,3.0,4.0
1892,préférence,0.0,1.0,0.0,6.0,7.0
1893,affichage,0.0,1.0,0.0,0.0,1.0
1894,volume,0.0,5.0,5.0,14.0,24.0
1895,visiter,0.0,1.0,0.0,3.0,4.0
1896,parcour,0.0,1.0,2.0,1.0,4.0
1897,intérêt,0.0,2.0,0.0,14.0,16.0
1898,partag,0.0,2.0,0.0,0.0,2.0
1899,réseau,0.0,4.0,2.0,16.0,22.0
1900,social,0.0,3.0,2.0,4.0,9.0
1901,partager,0.0,2.0,2.0,6.0,10.0
1902,cliquer,0.0,4.0,0.0,15.0,19.0
1903,bouter,0.0,1.0,0.0,0.0,1.0
1904,générer,0.0,2.0,1.0,7.0,10.0
1905,plateform,0.0,1.0,1.0,0.0,2.0
1906,refuser,0.0,2.0,0.0,1.0,3.0
1907,avertir,0.0,1.0,0.0,0.0,1.0
1908,refus,0.0,1.0,0.0,2.0,3.0
1909,intégralité,0.0,2.0,0.0,2.0,4.0
1910,instruction,0.0,1.0,0.0,1.0,2.0
1911,explorer,0.0,1.0,1.0,1.0,3.0
1912,explore,0.0,1.0,0.0,0.0,1.0
1913,firefo,0.0,1.0,0.0,0.0,1.0
1914,kb,0.0,1.0,0.0,0.0,1.0
1915,bloquer,0.0,1.0,0.0,0.0,1.0
1916,preference,0.0,1.0,0.0,0.0,1.0
1917,chrome,0.0,2.0,0.0,0.0,2.0
1918,hl,0.0,1.0,0.0,0.0,1.0
1919,hlrm,0.0,1.0,0.0,0.0,1.0
1920,safari,0.0,1.0,0.0,0.0,1.0
1921,oper,0.0,1.0,0.0,0.0,1.0
1922,latest,0.0,1.0,0.0,4.0,5.0
1923,nbsp,0.0,1.0,0.0,0.0,1.0
1924,utile,0.0,1.0,0.0,5.0,6.0
1925,regard,0.0,1.0,2.0,0.0,3.0
1926,déformer,0.0,1.0,0.0,0.0,1.0
1927,endommager,0.0,1.0,0.0,1.0,2.0
1928,emailing,0.0,1.0,0.0,0.0,1.0
1929,désinscrir,0.0,1.0,0.0,0.0,1.0
1930,désinscription,0.0,1.0,0.0,0.0,1.0
1931,footer,0.0,1.0,0.0,0.0,1.0
1932,emailings,0.0,1.0,0.0,0.0,1.0
1933,contactmeilleur,0.0,1.0,0.0,0.0,1.0
1934,voeu,0.0,1.0,0.0,0.0,1.0
1935,vœu,0.0,1.0,0.0,0.0,1.0
1936,bonheur,0.0,1.0,0.0,0.0,1.0
1937,rendez,0.0,2.0,0.0,2.0,4.0
1938,bientôt,0.0,1.0,0.0,1.0,2.0
1939,contactnouveauter,0.0,1.0,0.0,0.0,1.0
1940,compensation,0.0,2.0,0.0,0.0,2.0
1941,carbon,0.0,2.0,2.0,6.0,10.0
