,Words,Unista,JYGA,MG_Tech,Sidel,Total
122,plus,29.0,69.0,49.0,403.0,550.0
123,étape,5.0,4.0,0.0,86.0,95.0
124,suivant,2.0,12.0,2.0,5.0,21.0
125,rigoureux,1.0,0.0,0.0,5.0,6.0
126,dessinateur,1.0,0.0,2.0,0.0,3.0
127,mécanique,2.0,12.0,6.0,20.0,40.0
128,automaticien,1.0,0.0,2.0,0.0,3.0
129,spécialiste,5.0,1.0,6.0,6.0,18.0
130,assemblage,1.0,0.0,1.0,2.0,4.0
131,permettre,48.0,87.0,42.0,187.0,364.0
132,vie,2.0,1.0,1.0,36.0,40.0
133,idé,1.0,0.0,0.0,0.0,1.0
134,ambitieux,1.0,0.0,0.0,2.0,3.0
135,implémentation,1.0,0.0,0.0,0.0,1.0
136,existant,1.0,13.0,1.0,5.0,20.0
137,important,4.0,7.0,3.0,29.0,43.0
138,garantir,3.0,10.0,3.0,135.0,151.0
139,installation,1.0,60.0,9.0,18.0,88.0
140,meilleur,3.0,3.0,14.0,63.0,83.0
141,inutile,1.0,0.0,0.0,1.0,2.0
142,si,9.0,13.0,7.0,38.0,67.0
143,employé,1.0,0.0,0.0,3.0,4.0
144,utiliser,7.0,12.0,8.0,39.0,66.0
145,correctement,1.0,0.0,0.0,3.0,4.0
146,formation,2.0,7.0,10.0,38.0,57.0
147,améliorer,8.0,24.0,9.0,111.0,152.0
148,performance,3.0,36.0,5.0,186.0,230.0
149,souhaitez,1.0,0.0,2.0,7.0,10.0
150,conditionnement,33.0,71.0,32.0,80.0,216.0
151,rencontrer,1.0,2.0,0.0,5.0,8.0
152,problèm,1.0,0.0,1.0,0.0,2.0
153,inquiéter,1.0,0.0,0.0,0.0,1.0
154,techniciens,1.0,0.0,1.0,1.0,3.0
155,là,6.0,0.0,0.0,7.0,13.0
156,aider,1.0,2.0,3.0,20.0,26.0
157,principal,1.0,2.0,2.0,18.0,23.0
158,rendre,8.0,3.0,2.0,10.0,23.0
159,agréable,1.0,0.0,0.0,2.0,3.0
160,possible,3.0,12.0,5.0,42.0,62.0
161,contact,7.0,5.0,2.0,45.0,59.0
162,rue,25.0,132.0,0.0,0.0,157.0
163,georges,24.0,0.0,0.0,0.0,24.0
164,clémenceau,24.0,0.0,0.0,0.0,24.0
165,treize,23.0,0.0,0.0,0.0,23.0
166,septier,23.0,0.0,0.0,0.0,23.0
167,robotiséeéquipement,20.0,0.0,0.0,0.0,20.0
168,mesureaccompagnementnou,20.0,0.0,0.0,0.0,20.0
169,contacter,20.0,28.0,2.0,28.0,78.0
170,version,21.0,0.0,7.0,18.0,46.0
171,français,20.0,27.0,6.0,8.0,61.0
172,english,20.0,0.0,0.0,0.0,20.0
173,versionmachine,3.0,0.0,0.0,0.0,3.0
174,standard,2.0,21.0,6.0,26.0,55.0
175,changement,40.0,14.0,12.0,60.0,126.0
176,série,21.0,1.0,1.0,2.0,25.0
177,facilepour,1.0,0.0,0.0,0.0,1.0
178,bénéficier,6.0,1.0,0.0,48.0,55.0
179,fixation,1.0,0.0,0.0,0.0,1.0
180,objet,8.0,4.0,0.0,3.0,15.0
181,thermoforméssolution,1.0,0.0,0.0,0.0,1.0
182,innovativ,1.0,0.0,0.0,1.0,2.0
183,économiser,5.0,0.0,0.0,8.0,13.0
184,espac,4.0,6.0,4.0,15.0,29.0
185,site,33.0,41.0,34.0,96.0,204.0
186,productionconvoyeur,1.0,0.0,0.0,0.0,1.0
187,aspirant,1.0,0.0,0.0,0.0,1.0
188,extrêmement,3.0,0.0,0.0,16.0,19.0
189,stablessolution,1.0,0.0,0.0,0.0,1.0
190,breveté,1.0,0.0,0.0,8.0,9.0
191,productivitérassembl,1.0,0.0,0.0,0.0,1.0
192,plusieurs,10.0,26.0,13.0,59.0,108.0
193,fonction,5.0,35.0,16.0,38.0,94.0
194,seul,6.0,7.0,8.0,58.0,79.0
195,machinenotre,1.0,0.0,0.0,0.0,1.0
196,automatique,5.0,97.0,12.0,24.0,138.0
197,adapter,19.0,55.0,32.0,90.0,196.0
198,rapide,25.0,14.0,4.0,39.0,82.0
199,facile,17.0,1.0,2.0,31.0,51.0
200,fois,18.0,17.0,6.0,44.0,85.0
201,format,47.0,29.0,12.0,115.0,203.0
202,enregistrer,7.0,5.0,2.0,14.0,28.0
203,base,15.0,9.0,3.0,18.0,45.0
204,effectuer,20.0,8.0,7.0,19.0,54.0
205,quelque,17.0,5.0,4.0,26.0,52.0
206,second,9.0,8.0,2.0,4.0,23.0
207,ceci,5.0,0.0,0.0,0.0,5.0
208,maintenir,6.0,3.0,0.0,73.0,82.0
209,haut,8.0,14.0,4.0,60.0,86.0
210,cadence,9.0,46.0,23.0,123.0,201.0
211,différent,18.0,41.0,38.0,56.0,153.0
212,enregistremer,4.0,0.0,2.0,0.0,6.0
213,nouveau,7.0,26.0,11.0,158.0,202.0
214,intuitif,6.0,8.0,1.0,5.0,20.0
215,conduire,9.0,6.0,0.0,1.0,16.0
216,requérir,10.0,1.0,2.0,8.0,21.0
217,aucun,21.0,3.0,3.0,24.0,51.0
218,connaissance,8.0,1.0,5.0,15.0,29.0
219,utilisant,4.0,0.0,0.0,1.0,5.0
220,ranger,7.0,25.0,0.0,3.0,35.0
221,thermoformés,6.0,0.0,0.0,0.0,6.0
222,développer,8.0,50.0,9.0,25.0,92.0
223,type,14.0,42.0,30.0,42.0,128.0
224,rangement,8.0,1.0,3.0,0.0,12.0
225,utilison,4.0,0.0,0.0,7.0,11.0
226,avantage,4.0,4.0,8.0,53.0,69.0
227,accélérer,4.0,0.0,1.0,3.0,8.0
228,simplifier,4.0,5.0,2.0,13.0,24.0
229,final,4.0,1.0,0.0,12.0,17.0
230,prise,3.0,35.0,2.0,4.0,44.0
231,compte,4.0,5.0,12.0,28.0,49.0
232,définir,4.0,2.0,1.0,13.0,20.0
233,positionnement,6.0,3.0,1.0,3.0,13.0
234,saisir,4.0,28.0,0.0,6.0,38.0
235,immédiatement,4.0,0.0,0.0,5.0,9.0
236,propose,8.0,28.0,9.0,30.0,75.0
237,bouchage,4.0,0.0,0.0,16.0,20.0
238,compact,5.0,16.0,8.0,31.0,60.0
239,flexible,11.0,17.0,1.0,26.0,55.0
240,alors,2.0,29.0,6.0,10.0,47.0
241,distribution,5.0,6.0,2.0,21.0,34.0
242,pose,1.0,1.0,4.0,3.0,9.0
243,bouchon,5.0,5.0,1.0,42.0,53.0
244,pièce,23.0,3.0,14.0,56.0,96.0
245,supprimer,1.0,10.0,0.0,3.0,14.0
246,également,12.0,59.0,19.0,86.0,176.0
247,supplémentaire,2.0,1.0,0.0,7.0,10.0
248,orientation,4.0,4.0,1.0,11.0,20.0
249,prévissage,2.0,0.0,0.0,0.0,2.0
250,vissage,2.0,0.0,0.0,0.0,2.0
251,dépose,4.0,60.0,0.0,2.0,66.0
252,assurer,8.0,21.0,5.0,134.0,168.0
253,stabilité,4.0,0.0,2.0,15.0,21.0
254,déplacemer,3.0,0.0,0.0,1.0,4.0
255,souvent,4.0,4.0,0.0,2.0,10.0
256,godet,16.0,9.0,0.0,0.0,25.0
257,configuration,2.0,5.0,1.0,66.0,74.0
258,plupart,3.0,1.0,0.0,3.0,7.0
259,moderne,2.0,0.0,5.0,2.0,9.0
260,fin,8.0,61.0,29.0,28.0,126.0
261,retirer,2.0,9.0,0.0,1.0,12.0
262,déposer,2.0,32.0,0.0,4.0,38.0
263,experience,2.0,0.0,0.0,1.0,3.0
264,concevoir,10.0,65.0,19.0,52.0,146.0
265,optimal,7.0,3.0,3.0,56.0,69.0
266,assure,2.0,8.0,1.0,18.0,29.0
267,stable,2.0,3.0,0.0,6.0,11.0
268,band,2.0,5.0,0.0,0.0,7.0
269,efficace,8.0,0.0,4.0,17.0,29.0
270,permetteront,1.0,0.0,0.0,0.0,1.0
271,condition,6.0,4.0,6.0,38.0,54.0
272,flexibilité,5.0,3.0,6.0,66.0,80.0
273,rapides,5.0,1.0,1.0,14.0,21.0
274,sans,8.0,14.0,13.0,99.0,134.0
